1162.019053,1160.176528
1158.632662,1156.856811
1155.057692,1153.457018
1151.481773,1149.764103
1148.283880,1146.381628
1144.684964,1143.057851
1141.149175,1139.505595
1137.782677,1135.888120
1134.243229,1132.467093
1130.766014,1128.996951
1127.238415,1125.416138
1123.839637,1122.100624
1120.303305,1118.591932
1116.696157,1114.808275
1113.202795,1111.296020
1109.724517,1107.976567
1105.948549,1104.227721
1102.597183,1100.706024
1098.934598,1097.006269
1095.376966,1093.581803
1091.834547,1089.834028
1088.243188,1086.258015
1084.549066,1082.853697
1081.055753,1079.232768
1077.208584,1075.516909
1073.523046,1071.886500
1069.988978,1067.982389
1066.282507,1064.550566
1062.664622,1060.783201
1058.910742,1056.912804
1054.986209,1053.244676
1051.269466,1049.407342
1047.605769,1045.797045
1044.002908,1041.904992
1040.087041,1038.309754
1036.179878,1034.462408
1032.348715,1030.671561
1028.648273,1026.865469
1024.878224,1022.942885
1020.798211,1018.927063
1017.008109,1015.015317
1013.270023,1011.351123
1009.259110,1007.245618
1005.450206,1003.542274
1001.535037,999.411775
997.517823,995.639248
993.619489,991.784593
989.595539,987.797012
985.668551,983.614766
981.613908,979.824149
977.725713,512.676039
513.484692,514.810637
515.734772,516.618604
517.846150,518.424914
519.449803,520.885954
521.591114,522.652346
523.834018,524.527978
525.681062,526.696681
527.414955,528.565596
529.488836,530.541984
531.477271,532.430665
533.273515,534.541895
535.528610,536.414126
537.448268,538.162752
538.890614,540.107284
540.801734,542.076496
543.045205,543.528344
544.543027,545.713530
546.432002,547.357187
548.009881,549.179717
550.061430,551.025207
551.549342,552.782012
553.330555,554.356331
555.404345,556.273327
557.097484,557.571606
558.620011,559.143267
560.283571,560.969899
561.465255,562.489664
563.456246,564.153666
564.856369,565.571912
566.067300,566.683295
567.616719,568.142145
568.860026,569.679211
570.482270,571.306684
571.600854,572.375670
573.216470,573.441924
574.376852,574.620462
575.614937,576.004434
576.804790,577.245146
577.769284,577.924485
578.546850,579.079570
579.477308,580.296372
580.807131,581.010169
581.341054,582.041228
582.537791,582.853340
582.958614,583.451446
583.960987,584.215744
584.780127,584.720194
585.325442,585.347653
585.487287,585.706317
586.278346,586.302729
